Question	Answer	Source
¿Cuáles son los agentes que velan por garantizar la calidad del agua de mi grifo?	Diferentes agentes velan para que el agua de todos los hogares tenga total garantía sanitaria y se pueda consumir con la máxima confianza: El Ministerio de Sanidad, Servicios Sociales e Igualdad, del Gobierno, que establece la normativa nacional (basada en la legislación europea) para determinar las concentraciones máximas de las sustancias presentes en el agua. La La Agencia de Salud Pública del Ayuntamiento de Barcelona, la la Agencia de Salud Pública de Cataluña y el Departamento de Salud de la Generalitat de Cataluña, que velan por una correcta desinfección del agua y realizan análisis paralelos a las establecidas por Aigües de Barcelona (vigilancia sanitaria).  El Área Metropolitana de Barcelona y los municipios, que son responsables de asegurar que el agua suministrada sea apta para el consumo en el punto de entrega al consumidor y en locales públicos. Aigües de Barcelona, que es la responsable de suministrar agua de la calidad definida por la legislación vigente hasta el punto de entrega al consumidor, además de realizar todos los controles de calidad legalmente establecidos y de informar en caso de que se detecte cualquier anomalía. Cada persona consumidora, que tiene la responsabilidad de cuidar el agua potable en su casa, efectuando, por ejemplo, un buen mantenimiento de la instalación interior. 	Editorial
¿Por qué hay que desinfectar el agua?	El agua se desinfecta para hacerla segura para su consumo. El uso de cloro es más indicado que el de otros desinfectantes, ya que es muy efectivo desde las plantas de tratamiento hasta el grifo, protegiendo el agua a lo largo de todo su recorrido hasta los hogares. Por eso se ha utilizado desde hace muchos años en la industria del agua y se utiliza en la gran mayoría de los países avanzados.\n\nLa desinfección juega un papel muy importante en la protección de la salud pública, ya que elimina bacterias potencialmente peligrosas, permitiendo obtener un agua con total garantía sanitaria. De hecho, el cloro está considerado, junto con la penicilina, como el producto químico que salvó más vidas humanas durante todo el siglo XX.	Editorial
¿Cómo puedo obtener más información sobre el cloro y la desinfección del agua?	a cloración del agua potable es uno de los avances más significativos en la protección de la salud pública y ha contribuido a prevenir y erradicar numerosas enfermedades.\n\n\nEl cloro es el desinfectante de agua más utilizado en todo el mundo por su efectividad y fiabilidad a la hora de eliminar todos los microbios nocivos que pueda contener el agua, las tuberías de suministro o los depósitos de almacenamiento.\n	Editorial
¿Por qué la cloración es la técnica desinfectante más utilizada en todo el mundo para potabilizar el agua?	Porque es el método que mejor garantiza la desinfección del agua hasta que llega a los grifos de los consumidores, impidiendo que proliferen microorganismos en los depósitos de almacenamiento y en las tuberías de suministro, y por su inocuidad más que probada en las concentraciones utilizadas. Por esta razón, la Organización Mundial de la Salud lo recomienda como el desinfectante más indicado para el agua.	Editorial
¿El cloro es perjudicial para la salud?	La Organización Mundial de la Salud indica que, en las concentraciones establecidas por la legislación, el cloro es totalmente inofensivo para la salud. Las concentraciones máximas de este componente en el agua del grifo recomendadas por esta organización y las establecidas por la legislación vigente garantizan que no supone ningún riesgo para la salud.\n\nDe hecho, la cloración del agua potable es uno de los avances más significativos en la protección de la salud pública, ya que gracias a su elevado poder letal contra las bacterias y otros microorganismos ha contribuido a prevenir y erradicar numerosas enfermedades de transmisión hídrica. La presencia de una dosis correcta de cloro en el agua después de haberla tratado no representa ningún riesgo para la salud y le confiere un efecto de protección contra posibles contaminaciones, aparte de ser un indicador de buena desinfección.	Editorial
¿Qué cantidad de cloro contiene el agua del grifo?	Según la normativa estatal vigente (Real Decreto 140/2003) y la transposición de la Directiva Europea 98/83/CE, la concentración de cloro en el agua no debe ser superior a 1 mg/l, si bien este parámetro sólo es considerado como indicador, por lo que el límite no se fija con criterios sanitarios sino organolépticos. Aunque la legislación estatal no establece ningún valor mínimo para el cloro libre, varias comunidades autónomas lo han establecido a través de sus planes de vigilancia. En la mayoría de los casos, este valor es de 0,2 mg/l.\n\nTeniendo en cuenta que el cloro desaparece en función del tiempo de residencia en el agua y de la temperatura, entre otros factores, su nivel se controla en toda la red de distribución. De esta manera, si durante el recorrido que sigue hasta los hogares de los consumidores, el nivel es inferior al límite indicativo establecido, desde la misma red de distribución se dosifican pequeñas cantidades de cloro para garantizar la calidad sanitaria del agua.	Editorial
¿Por qué puede que mi agua tenga olor o sabor a cloro?	En algunas ocasiones se puede percibir cierto olor/sabor a cloro en tu agua: normalmente esto sucede después de realizar algún cambio o ajuste en el tratamiento y no representa ningún problema sanitario. Nos esforzamos para mantener los niveles de cloro constantes, pero algunos cambios operacionales inevitables en las plantas de tratamiento o en el sistema de distribución pueden producir este ligero regusto/olor a cloro.\n\nSin embargo, el nivel de cloro dosificado a tu agua de consumo es meticulosamente controlado y monitorizado: el agua sale de nuestras plantas con menos de una parte por millón de cloro (1 miligramos por litro), siguiendo las recomendaciones de la Organización Mundial de la Salud.\n\nEl agua de consumo tratada con cloro no supone ningún riesgo para la salud; sin embargo, si deseas mejorar su sabor, puedes seguir los consejos sencillos que te explicamos a continuación.	Editorial
¿Cómo puedo mejorar el sabor del agua?	En Aigües de Barcelona* aplicamos técnicas muy avanzadas de tratamiento, como la [ósmosis inversa](http://www.aiguesdebarcelona.cat/potabilizacion "Link a ETAP de Sant Joan Despí"), que permiten obtener un agua con mejor gusto. Sin embargo, si deseas mejorar el sabor y el olor, se recomienda que, apenas salida del grifo, la pongas en una jarra de vidrio abierta, la dejes en reposo durante media hora para que se evapore el cloro y luego la pongas en la nevera. El hecho de enfriarla hace que disminuyan el gusto y el olor a cloro. También se puede añadir unas gotas de zumo de limón, que ayudan a eliminar el cloro. En estos casos, el agua debe considerarse como cualquier otro alimento y consumirse antes de 24 horas.	Editorial
¿Qué es la dureza del agua y qué la determina?	La dureza del agua viene determinada por su contenido o nivel de compuestos naturales de calcio y magnesio.\n\nLas aguas con un alto contenido en calcio y magnesio se consideran duras*, mientras que las que tienen un contenido bajo se consideran blandas*. Esto es función de la geología del terreno de donde proceden. Las aguas duras se encuentran en áreas con geología calcárea o de tipo yesoso; cuando el agua de los recursos circula a través del terreno y de las rocas, incorpora los carbonatos de calcio, y su concentración final determinará la dureza del agua de consumo.\n\nLa dureza del agua no comporta ningún riesgo sanitario, más bien al contrario: el calcio y el magnesio, que caracterizan la dureza del agua, son esenciales para la salud. Incluso hay varios estudios médicos que indican un papel protector del calcio y el magnesio ante ciertas enfermedades como las cardiovasculares.\n	Editorial
¿Cómo se mide la dureza del agua?	Existen diferentes clasificaciones de las aguas en función del grado de dureza. Una de las más utilizadas es la escala Merck.\n\nLa dureza del agua también se puede expresar en grados franceses (° fH) o en grados alemanes (° dH). La equivalencia entre estas unidades y la dureza expresada en mg/l de carbonato de calcio es la siguiente:\n  \n	Editorial
¿Cuál es el grado de dureza y la composición mineral del agua de mi casa?	Las aguas suministradas por Aigües de Barcelona* en las diferentes zonas de abastecimiento se pueden calificar generalmente como duras* y semiduras*, en función de la zona y el momento del año. Puedes consultar la dureza y la composición mineral del agua de tu municipio aquí: http://www.aiguesdebarcelona.cat/dureza-y-composicion-mineral-de-tu-agua	Editorial
¿Tiene algún consejo sobre jarras con filtros o sistemas de tratamiento doméstico de agua?	El agua del grifo es potable, cumple todos los estándares de calidad establecidos por la legislación nacional e internacional y es estrictamente controlada, por lo que no es necesario comprar ningún dispositivo adicional para tratarla, ya sea de tipo jarra con filtro o de tipo descalcificador/osmotizador. Además, si estos dispositivos no se eligen con cuidado, no se controlan regularmente y no se hace el mantenimiento aconsejado, pueden llegar a comportar riesgos para la salud (contaminación por bacterias, desmineralización excesiva del agua, concentraciones elevadas de sodio, etc.).\n\nPor tanto, en base a razones sanitarias no hay necesidad de emplear estos dispositivos para el agua de consumo. Si aún así decides utilizarlos por otras razones, hay que seguir siempre las recomendaciones de los fabricantes para la instalación, utilización y mantenimiento del equipo. Por otra parte, el agua tratada por estos dispositivos debe considerarse como un alimento con caducidad (hay que tener en cuenta que normalmente eliminan el cloro y, por tanto, la protección del agua contra infecciones) y conservarla refrigerada. Además, habría que consumirla antes de pasadas 24 horas.	Editorial
¿Es suficiente con 1,5 litros de agua al día?	Es difícil establecer la cantidad exacta de agua que tiene que beber una persona al día, ya que las necesidades suelen variar en función de varios factores, como la actividad física, el clima, la edad y el sexo, entre otros.\n\nSe recomienda que una persona adulta sana consuma 1 ml de agua por cada kilocaloría que ingiere al día, es decir, entre 2 y 3 litros de agua diariamente.\n\nDe esta cantidad, entre un 75% y un 80% tiene que obtenerse de las bebidas (básicamente, agua, leche, zumos, infusiones, caldos, etc.), mientras que el 20% o el 25% restante tiene que proceder de alimentos sólidos, como fruta y verdura.	Editorial
¿Sabes cómo se recomienda empezar y acabar el día?	Cuando dormimos perdemos agua. Por eso es recomendable beber al menos un vaso antes de acostarse y otro al levantarse.	Editorial
¿Por qué es importante estar bien hidratados?	Cuando transpiramos, nuestro cuerpo pierde agua y sales minerales. El 99% de nuestro sudor no es más que agua, pero también contiene minerales como sodio, potasio, hierro y magnesio.\n\nUna buena hidratación nos permite recuperar los valores de agua necesarios para el organismo y evitar ciertos trastornos como vómitos, dolores de cabeza, cansancio, piel seca, etc., síntomas característicos de la deshidratación.	Editorial
¿Sabes por qué no debemos esperar a tener sed para beber agua?	Hay que compensar cuanto antes mejor la pérdida de agua que sufre el cuerpo diariamente (más de 2 litros) para evitar que empiece el proceso de deshidratación.\n\nPor eso es muy importante que no esperemos a tener la sensación de sed para beber agua, ya que este síntoma es una característica propia de la deshidratación.	Editorial
¿Tenemos que beber más agua cuando hacemos ejercicio?	Es fundamental beber medio litro de agua dos horas antes de hacer ejercicio para tener una buena hidratación y dejar tiempo al cuerpo para que elimine el excedente.\n\nDurante el ejercicio, es recomendable hidratarse a intervalos regulares para reemplazar toda el agua que se pierde con el sudor. Después de hacer ejercicio, es esencial beber agua para recuperarse adecuadamente.	Editorial
¿Los niños deben tomar más precauciones?	En cuanto a los niños, es importante que hagan pausas obligatorias durante los entrenamientos o los juegos para poder beber la cantidad de agua necesaria e hidratarse.	Editorial
¿Las personas mayores tienen que hidratarse más?	En el caso de las personas mayores, controlar el consumo de agua es fundamental, ya que con la edad se producen cambios en la función renal y disminuye en gran medida la sensación de sed.	Editorial
¿Sabías que es aconsejable beber más agua si se tiene la gripe o diarrea?	El resfriado común, la gripe y las diarreas son una causa frecuente de deshidratación y, por tanto, en esos estados hay que beber agua regularmente.	Editorial
¿Qué debo hacer para comprobar si tengo un escape en casa?	A continuación, te indicamos los pasos que debes seguir:\n\n \n\n*   En primer lugar, debes localizar tu contador de agua. Entra en el cuarto de contadores de la finca. En la batería de contadores hay un plano donde podrás encontrar la ubicación de tu contador.\n*   Seguidamente, comprueba que el contador funciona correctamente. Para ello, deja un grifo abierto en tu casa o en tu local. La aguja roja de la esfera grande o la última cifra roja del contador (si es electrónico) debe moverse en sentido ascendente.\n*   Manteniendo el grifo abierto, cierra la llave de paso del contador y comprueba que éste no registre ningún movimiento.\n*   Para terminar, vuelve a abrir la llave de paso y cierra todos los grifos de casa durante una hora aproximadamente. Observa si el contador ha registrado consumo de agua. Si es así, es muy posible que haya un escape en la instalación, ya que el contador sólo registra consumo si pasa agua por él.	Editorial
¿Puedo comprobar yo si tengo un escape de agua en casa? 	A continuación, te indicamos los pasos que debes seguir:\n\n \n\n*   En primer lugar, debes localizar tu contador de agua. Entra en el cuarto de contadores de la finca. En la batería de contadores hay un plano donde podrás encontrar la ubicación de tu contador.\n*   Seguidamente, comprueba que el contador funciona correctamente. Para ello, deja un grifo abierto en tu casa o en tu local. La aguja roja de la esfera grande o la última cifra roja del contador (si es electrónico) debe moverse en sentido ascendente.\n*   Manteniendo el grifo abierto, cierra la llave de paso del contador y comprueba que éste no registre ningún movimiento.\n*   Para terminar, vuelve a abrir la llave de paso y cierra todos los grifos de casa durante una hora aproximadamente. Observa si el contador ha registrado consumo de agua. Si es así, es muy posible que haya un escape en la instalación, ya que el contador sólo registra consumo si pasa agua por él.	Editorial
¿A quién debo llamar si tengo un escape de agua?	Si tienes un escape, debes ponerte en contacto con un fontanero o empresa especializada o bien comprobar si tu seguro de hogar cubre este tipo de reparaciones.\n\nTe recordamos que la conservación y la reparación de cualquier avería en las instalaciones interiores es responsabilidad del usuario, como establece el [Reglamento del Servicio Metropolitano del Ciclo Integral del Agua](http://www.aiguesdebarcelona.cat/documents/2950762/0/Reglamento+del+Servicio+Metropolitano+del+Ciclo+Integral+del+Agua.pdf/6135cffb-05be-4d1f-a08c-445e8f03cc37) en el apartado 4 del artículo 31, "Responsabilidad del receptor del servicio".	Editorial
¿A quién debo llamar si no tengo ningún escape de agua pero creo que mi consumo es más elevado de lo habitual?	Para descartar cualquier tipo de escape, te recomendamos que verifiques toda la instalación interior de tu casa y también la situada en la cámara de contadores de agua de la finca (generalmente, en la entrada del edificio). En este caso, a excepción del equipo de medición instalado, el mantenimiento, conservación y reparación del resto de la instalación en caso de avería o escape corresponde al cliente o a la comunidad de propietarios de la finca.\n \n\nSi tienes cualquier duda sobre la forma de revisar un posible escape en tu instalación interior o de la finca, llámanos a nuestro teléfono de averías de Aigües de Barcelona, 900 700 720 (disponible 24h al día, 365 días al año).\n \n\nAsimismo, si has comprobado que no hay ningún escape en la instalación interior o de la finca, pero tu consumo sigue siendo más elevado del habitual, llámanos al teléfono de atención al cliente de Aigües de Barcelona, 900 710 710 (de lunes a viernes, de 8h a 20h) y haremos todo el posible para ayudarte.	Editorial
¿Tengo que adoptar medidas de conservación de las instalaciones interiores del suministro de agua?	SÍ. Es necesario utilizar las instalaciones de forma correcta y adoptar las medidas necesarias para conservarlas adecuadamente, evitando así el retorno a la red de posibles aguas contaminantes. También debes proteger los precintos que garantizan la no manipulación del contador ni de las instalaciones de la acometida, asegurándote de que no se entorpezca el proceso de toma de lecturas.	Editorial
¿A quién debo llamar si mi desagüe o el de la comunidad tiene una avería u obstrucción antes de llegar a la conducción del alcantarillado general de la calle?	Cuando la acometida del alcantarillado está obstruida o averiada, ya sea en la instalación interior o en la canalización del alcantarillado, es responsabilidad de la persona propietaria de la finca o vivienda que la utiliza. Es necesario evacuar las aguas sucias a la red general de vertidos o al alcantarillado municipal. Debes ponerte en contacto con una empresa privada para desatascar las canalizaciones de vertido de residuos.	Editorial
No tengo agua en casa. ¿Qué hago?	En primer lugar, averigua si la falta de agua afecta a todos los puntos de agua de tu casa. Si es así, contacta con algún vecino o vecina para saber si la incidencia es general. Si las viviendas vecinas no están afectadas, comprueba que la llave de paso interior de tu casa esté completamente abierta. A continuación, verifica que el contador o el equipo de medición tenga las dos llaves de paso abiertas (es decir, giradas completamente a la izquierda).\n \n\nRecuerda que para localizar tu contador de agua tienes que entrar con la llave universal en el cuarto de contadores, que generalmente está en el portal o en el vestíbulo de la finca. En la batería de contadores hay un plano donde podrás encontrar la ubicación de tu contador.\n \n\nSi después de haber hecho estas comprobaciones sigues sin agua, llámanos a nuestro teléfono de averías 900 700 720 y haremos todo lo posible para ayudarte.	Editorial
Han reparado recientemente una avería de agua en la calle y ahora no tengo presión suficiente en casa. ¿Qué hago?	En ocasiones, mientras se produce un escape o durante su reparación, es posible que la misma presión del agua pueda arrastrar pequeñas partículas de arena de las tuberías generales y también de las particulares de la finca. Por suerte, no se trata de nada grave.\n \n\nEn la mayoría de los casos, transcurridos unos minutos tras la reparación de la avería exterior debería restablecerse la normalidad en el suministro, recuperando la presión habitual.\n \n\nNo obstante, si sigues sin la presión habitual, llámanos a nuestro teléfono de averías 900 700 720 y haremos todo lo posible para ayudarte.	Editorial
No tengo presión de agua en casa. ¿Qué hago?	Comprueba que la llave de paso interior de tu casa esté completamente abierta. Si tienes instalado algún aparato reductor de presión, comprueba que funcione correctamente. A continuación, verifica que el contador o el equipo de medición tenga las dos llaves de paso abiertas (es decir, giradas completamente a la izquierda).\n \n\nRecuerda que para localizar tu contador de agua tienes que entrar con la llave universal en el cuarto de contadores, que generalmente está en el portal o en el vestíbulo de la finca. En la batería de contadores hay un plano donde podrás encontrar la ubicación de tu contador.\n \n\nSi después de haber hecho estas comprobaciones sigues sin presión, llámanos a nuestro teléfono de averías 900 700 720 y haremos todo lo posible para ayudarte.	Editorial
No tengo presión en el agua caliente de mi casa. ¿Qué hago?	Recuerda que Aigües de Barcelona sólo te suministra agua corriente a través de la red de distribución general. Es decir, se trata de agua fría. Abre cualquier grifo de casa y comprueba que el agua fría tenga la presión habitual. Si no es así, revisa la llave de paso interior, y que el contador o el equipo de medición tenga las dos llaves de paso abiertas (es decir, giradas completamente a la izquierda).\n \n\nRecuerda que para localizar tu contador de agua tienes que entrar con la llave universal en el cuarto de contadores, que generalmente está en el portal o en el vestíbulo de la finca. En la batería de contadores hay un plano donde podrás encontrar la ubicación de tu contador.\n \n\nSi aun así sigues sin tener presión en el agua caliente, contacta con un fontanero o con tu seguro del hogar para que verifiquen la instalación y el circuito del agua caliente.	Editorial
¿Por qué en ocasiones el agua del grifo huele a cloro?	El agua potable entra en el sistema de distribución con una garantía sanitaria total, y el cloro es la forma de asegurar la calidad a lo largo de toda la red. La desinfección se lleva a cabo con diferentes agentes desinfectantes, y el cloro es posiblemente el que se utiliza más a menudo. El cloro es un desinfectante muy eficaz, empleado para eliminar toda bacteria dañina que pueda hallarse en la fuente y en la captación de agua. Los niveles de cloro utilizados para el agua potable son en dosis mínima y tienen la garantía sanitaria que fija la legislación. Éstos no son en ningún caso lo suficientemente elevados para suponer un riesgo para la salud de las personas.\n 	Editorial
¿Qué hago si el agua del grifo tiene un color, olor y/o sabor muy desagradable?	El gusto y el olor del agua no tienen relación con la potabilidad. Precisamente, son los componentes utilizados para tratar el agua los que puntualmente pueden provocar estos cambios, que no son en ningún caso perjudiciales para la salud.\n \n\nAun así, si deseas mejorar el sabor y el olor del agua, te recomendamos que la viertas en una jarra de cristal sin tapar y que la dejes en reposo durante media hora para que el cloro se evapore. Seguidamente, tapa la jarra y ponla en la nevera, puesto que el frío hace que disminuya el sabor y el olor de cloro. También puedes añadir unas gotas de zumo de limón para mejorar su sabor.\n \n\nNo obstante, si detectas una anomalía importante en el color u olor del agua de tu casa, te recomendamos que te pongas en contacto con nosotros al teléfono de averías 900 700 720.	Editorial
¿Debo instalar en casa un descalcificador o filtros de ósmosis inversa para mejorar la calidad del agua?	El agua del grifo es potable y cumple todos los estándares de calidad establecidos por la legislación, y por lo tanto, no es preciso adquirir ningún dispositivo adicional para tratarla. Además, ten en cuenta que este tipo de dispositivos deben elegirse con cuidado en función de la instalación, y llevar a cabo un control y mantenimiento periódico.	Editorial
¿Qué es la dureza del agua?	El agua adquiere el calcio y el magnesio, que determinan su dureza, al entrar en contacto con los diversos tipos de terrenos por los que circula el río o el acuífero de donde procede. Por tanto, el grado de dureza del agua depende del carácter geológico del suelo que atraviesa desde su origen. Así, un suelo calcáreo genera más contenidos de cal que un suelo granítico.\n \n\nLa dureza del agua del grifo no supone ningún peligro para la salud humana, más bien al contrario: el calcio y el magnesio, que caracterizan la dureza del agua, son esenciales para la salud.	Editorial
¿Cuál es el grado de dureza del agua de mi casa?	Los valores medios en unidades equivalentes sobre la dureza total son 315 mg CaCO3/l = 31,5 °F.	Editorial
¿Cómo puedo pagar mis facturas?	isponemos de 6 canales de pago diferentes para que tengas la máxima flexibilidad a la hora de liquidar tus recibos.\n \n\n*   Domiciliación bancaria\n*   Teléfono de atención al cliente de Aigües de Barcelona900 710 710 (con tarjeta bancaria)\n*   Entidades bancarias colaboradoras\n*   [Oficinas de correos](http://www.correos.es/ss/Satellite/site/pagina-localizador_oficinas/sidioma=es_ES)\n*   ServiCaixa ([Línea Abierta](https://portal.lacaixa.es/pagos/impuestosrecibosmatriculas_es.html))\n*   Oficina en Red	Editorial
¿Cómo puedo domiciliar mis facturas?	Puedes hacerlo a través de nuestra Oficina en Red rellenando tus datos bancarios. También puedes dar la orden de domiciliación en tu entidad bancaria o comunicarnos los datos de tu cuenta bancaria a través de nuestro teléfono de atención al cliente, 900 710 710 (de lunes a viernes, de 08h a 20h).	Editorial
Si no tengo domiciliada la factura, ¿en qué entidades bancarias puedo pagarla?	Puedes hacerlo a través de ServiCaixa, Banco Santander, SabadellAtlántico, Bankia y Banesto.	Editorial
¿Puedo pagar mis facturas directamente por teléfono?	Sí, llamando a nuestro teléfono de atención al cliente 900 710 710 (de lunes a viernes, de 08h a 20h). Recuerda que debes tener a mano una tarjeta de crédito/débito (Visa/Mastercard).	Editorial
¿Puedo pagar mis facturas en las oficinas de Aigües de Barcelona?	No, no es posible realizar pagos en nuestras oficinas.	Editorial
¿Tengo que ser cliente de La Caixa para poder pagar mis facturas a través de ServiCaixa?	No, no es necesario que seas cliente de esta entidad, ni tampoco que seas usuario o usuaria de Línea Abierta de La Caixa.\n\nRecuerda que también podrás realizar el pago a través de nuestras entidades colaboradoras, mediante la Oficina en Red o a través de [La Caixa - Pagos Online](https://portal.lacaixa.es/pagos/impuestosrecibosmatriculas_es.html) con cualquier tarjeta de crédito (Visa/Mastercard) o de débito	Editorial
¿Mi tarjeta bancaria tiene que ser de La Caixa para poder realizar pagos en línea?	No, no es necesario que La Caixa sea la entidad emisora de la tarjeta. Sólo hace falta que tengas una tarjeta de crédito activa (Visa / Mastercard) o de débito.	Editorial
¿Puedo realizar el pago en línea en cualquier momento?	Sí, el servicio está disponible las 24 horas del día y los 365 días del año.	Editorial
¿Qué necesito para hacer pagos en línea?	Es necesario que tengas un ordenador o un dispositivo con conexión a Internet y una tarjeta bancaria activa en el momento de realizar la operación.	Editorial
¿El pago en línea tiene algún coste para mí?	No. Los pagos efectuados en línea no tienen ningún coste adicional.	Editorial
¿Qué ventajas tiene el pago en línea?	Disponibilidad total sin tener que desplazarte, confidencialidad y seguridad con tus datos bancarios.	Editorial
